make,model,car_type,upcharge_percentage
Buick,Regal,Standard,0
Buick,Regal Sportback,Standard,0
Buick,Regal TourX,Standard,0
Buick,Rendezvous,Standard,0
Buick,Riviera,Standard,0
Buick,Roadmaster,Standard,0
Buick,Skylark,Standard,0
Buick,Terraza,Standard,0
Buick,Verano,Standard,0
Cadillac,ATS,Standard,0
Cadillac,ATS-V,Standard,0
Cadillac,Allante,Standard,0
Cadillac,Brougham,Standard,0
Cadillac,CT4,Standard,0
Cadillac,CT5,Standard,0
Cadillac,CT6,Standard,0
Cadillac,CT6-V,Standard,0
Cadillac,CTS,Standard,0
Cadillac,CTS-V,Standard,0
Cadillac,Catera,Standard,0
Cadillac,Celestiq,Standard,0
Cadillac,DTS,Standard,0
Cadillac,DeVille,Standard,0
Cadillac,ELR,Standard,0
Cadillac,Eldorado,Standard,0
Cadillac,Escalade,Standard,0
Cadillac,Escalade ESV,Standard,0
Cadillac,Escalade EXT,Standard,0
Cadillac,Escalade IQ,Standard,0
Cadillac,Fleetwood,Standard,0
Cadillac,LYRIQ,Standard,0
Cadillac,OPTIQ,Standard,0
Cadillac,SRX,Standard,0
Cadillac,STS,Standard,0
Cadillac,Seville,Standard,0
Cadillac,Sixty Special,Standard,0
Cadillac,Vistiq,Standard,0
Cadillac,XLR,Standard,0
Cadillac,XT4,Standard,0
Cadillac,XT5,Standard,0
Cadillac,XT6,Standard,0
Cadillac,XTS,Standard,0
Chevrolet,1500 Extended Cab,Standard,0
Chevrolet,1500 Regular Cab,Standard,0
Chevrolet,2500 Crew Cab,Standard,0
Chevrolet,2500 Extended Cab,Standard,0
Chevrolet,2500 HD Extended Cab,Standard,0
Chevrolet,2500 HD Regular Cab,Standard,0
Chevrolet,2500 Regular Cab,Standard,0
Chevrolet,3500 Crew Cab,Standard,0
Chevrolet,3500 Extended Cab,Standard,0
Chevrolet,3500 HD Extended Cab,Standard,0
Chevrolet,3500 HD Regular Cab,Standard,0
Chevrolet,3500 Regular Cab,Standard,0
Chevrolet,APV Cargo,Standard,0
Chevrolet,Astro Cargo,Standard,0
Chevrolet,Astro Passenger,Standard,0
Chevrolet,Avalanche,Standard,0
Chevrolet,Avalanche 1500,Standard,0
Chevrolet,Avalanche 2500,Standard,0
Chevrolet,Aveo,Standard,0
Chevrolet,Beretta,Standard,0
Chevrolet,Blazer,Standard,0
Chevrolet,Blazer EV,Standard,0
Chevrolet,Bolt EUV,Standard,0
Chevrolet,Bolt EV,Standard,0
Chevrolet,Camaro,Standard,0
Chevrolet,Caprice,Standard,0
Chevrolet,Caprice Classic,Standard,0
Chevrolet,Captiva Sport,Standard,0
Chevrolet,Cavalier,Standard,0
Chevrolet,City Express,Standard,0
Chevrolet,Classic,Standard,0
Chevrolet,Cobalt,Standard,0
Chevrolet,Colorado Crew Cab,Standard,0
Chevrolet,Colorado Extended Cab,Standard,0
Chevrolet,Colorado Regular Cab,Standard,0
Chevrolet,Corsica,Standard,0
Chevrolet,Corvette,Standard,0
Chevrolet,Cruze,Standard,0
Chevrolet,Cruze Limited,Standard,0
Chevrolet,Equinox,Standard,0
Chevrolet,Equinox EV,Standard,0
Chevrolet,Express 1500 Cargo,Standard,0
Chevrolet,Express 1500 Passenger,Standard,0
Chevrolet,Express 2500 Cargo,Standard,0
Chevrolet,Express 2500 Passenger,Standard,0
Chevrolet,Express 3500 Cargo,Standard,0
Chevrolet,Express 3500 Passenger,Standard,0
Chevrolet,G-Series 1500,Standard,0
Chevrolet,G-Series 2500,Standard,0
Chevrolet,G-Series 3500,Standard,0
Chevrolet,G-Series G10,Standard,0
Chevrolet,G-Series G20,Standard,0
Chevrolet,G-Series G30,Standard,0
Chevrolet,HHR,Standard,0
Chevrolet,Impala,Standard,0
Chevrolet,Impala Limited,Standard,0
Chevrolet,Lumina,Standard,0
Chevrolet,Lumina APV,Standard,0
Chevrolet,Lumina Cargo,Standard,0
Chevrolet,Lumina Passenger,Standard,0
Chevrolet,Malibu,Standard,0
Chevrolet,Malibu (Classic),Standard,0
Chevrolet,Malibu Limited,Standard,0
Chevrolet,Metro,Standard,0
Chevrolet,Monte Carlo,Standard,0
Chevrolet,Prizm,Standard,0
Chevrolet,S10 Blazer,Standard,0
Chevrolet,S10 Crew Cab,Standard,0
Chevrolet,S10 Extended Cab,Standard,0
Chevrolet,S10 Regular Cab,Standard,0
Chevrolet,SS,Standard,0
Chevrolet,SSR,Standard,0
Chevrolet,Silverado (Classic) 1500 Crew Cab,Standard,0
Chevrolet,Silverado (Classic) 1500 Extended Cab,Standard,0
Chevrolet,Silverado (Classic) 1500 HD Crew Cab,Standard,0
Chevrolet,Silverado (Classic) 1500 Regular Cab,Standard,0
Chevrolet,Silverado (Classic) 2500 HD Crew Cab,Standard,0
Chevrolet,Silverado (Classic) 2500 HD Extended Cab,Standard,0
Chevrolet,Silverado (Classic) 2500 HD Regular Cab,Standard,0
Chevrolet,Silverado (Classic) 3500 Crew Cab,Standard,0
Chevrolet,Silverado (Classic) 3500 Extended Cab,Standard,0
Chevrolet,Silverado (Classic) 3500 Regular Cab,Standard,0
Chevrolet,Silverado 1500 Crew Cab,Standard,0
Chevrolet,Silverado 1500 Double Cab,Standard,0
Chevrolet,Silverado 1500 Extended Cab,Standard,0
Chevrolet,Silverado 1500 HD Crew Cab,Standard,0
Chevrolet,Silverado 1500 LD Double Cab,Standard,0
Chevrolet,Silverado 1500 Limited Crew Cab,Standard,0
Chevrolet,Silverado 1500 Limited Double Cab,Standard,0
Chevrolet,Silverado 1500 Limited Regular Cab,Standard,0
Chevrolet,Silverado 1500 Regular Cab,Standard,0
Chevrolet,Silverado 2500 Crew Cab,Standard,0
Chevrolet,Silverado 2500 Extended Cab,Standard,0
Chevrolet,Silverado 2500 HD Crew Cab,Standard,0
Chevrolet,Silverado 2500 HD Double Cab,Standard,0
Chevrolet,Silverado 2500 HD Extended Cab,Standard,0
Chevrolet,Silverado 2500 HD Regular Cab,Standard,0
Chevrolet,Silverado 2500 Regular Cab,Standard,0
Chevrolet,Silverado 3500 Crew Cab,Standard,0
Chevrolet,Silverado 3500 Extended Cab,Standard,0
Chevrolet,Silverado 3500 HD Crew Cab,Standard,0
Chevrolet,Silverado 3500 HD Double Cab,Standard,0
Chevrolet,Silverado 3500 HD Extended Cab,Standard,0
Chevrolet,Silverado 3500 HD Regular Cab,Standard,0
Chevrolet,Silverado 3500 Regular Cab,Standard,0
Chevrolet,Silverado EV,Standard,0
Chevrolet,Sonic,Standard,0
Chevrolet,Spark,Standard,0
Chevrolet,Spark EV,Standard,0
Chevrolet,Sportvan G10,Standard,0
Chevrolet,Sportvan G20,Standard,0
Chevrolet,Sportvan G30,Standard,0
Chevrolet,Suburban,Standard,0
Chevrolet,Suburban 1500,Standard,0
Chevrolet,Suburban 2500,Standard,0
Chevrolet,Suburban 3500HD,Standard,0
Chevrolet,Tahoe,Standard,0
Chevrolet,Tahoe (New),Standard,0
Chevrolet,Tracker,Standard,0
Chevrolet,TrailBlazer,Standard,0
Chevrolet,Trailblazer,Standard,0
Chevrolet,Traverse,Standard,0
Chevrolet,Traverse Limited,Standard,0
Chevrolet,Trax,Standard,0
Chevrolet,Uplander Cargo,Standard,0
Chevrolet,Uplander Passenger,Standard,0
Chevrolet,Venture Cargo,Standard,0
Chevrolet,Venture Passenger,Standard,0
Chevrolet,Volt,Standard,0
Chrysler,200,Standard,0
Chrysler,300,Standard,0
Chrysler,300M,Standard,0
Chrysler,Aspen,Standard,0
Chrysler,Cirrus,Standard,0
Chrysler,Concorde,Standard,0
Chrysler,Crossfire,Standard,0
Chrysler,Fifth Ave,Standard,0
Chrysler,Grand Voyager,Standard,0
Chrysler,Imperial,Standard,0
Chrysler,LHS,Standard,0
Chrysler,LeBaron,Standard,0
Chrysler,New Yorker,Standard,0
Chrysler,PT Cruiser,Standard,0
Chrysler,Pacifica,Standard,0
Chrysler,Pacifica Hybrid,Standard,0
Chrysler,Prowler,Standard,0
Chrysler,Sebring,Standard,0
Chrysler,Town & Country,Standard,0
Chrysler,Voyager,Standard,0
Daewoo,Lanos,Standard,0
Daewoo,Leganza,Standard,0
Daewoo,Nubira,Standard,0
Daihatsu,Charade,Standard,0
Daihatsu,Rocky,Standard,0
Dodge,Avenger,Standard,0
Dodge,Caliber,Standard,0
Dodge,Caravan Cargo,Standard,0
Dodge,Caravan Passenger,Standard,0
Dodge,Challenger,Standard,0
Dodge,Charger,Standard,0
Dodge,Colt,Standard,0
Dodge,D150 Club Cab,Standard,0
Dodge,D150 Regular Cab,Standard,0
Dodge,D250 Club Cab,Standard,0
Dodge,D250 Regular Cab,Standard,0
Dodge,D350 Club Cab,Standard,0
Dodge,D350 Regular Cab,Standard,0
Dodge,Dakota Club Cab,Standard,0
Dodge,Dakota Crew Cab,Standard,0
Dodge,Dakota Extended Cab,Standard,0
Dodge,Dakota Quad Cab,Standard,0
Dodge,Dakota Regular Cab,Standard,0
Dodge,Dart,Standard,0
Dodge,Daytona,Standard,0
Dodge,Durango,Standard,0
Dodge,Dynasty,Standard,0
Dodge,Grand Caravan Cargo,Standard,0
Dodge,Grand Caravan Passenger,Standard,0
Dodge,Hornet,Standard,0
Dodge,Intrepid,Standard,0
Dodge,Journey,Standard,0
Dodge,Magnum,Standard,0
Dodge,Monaco,Standard,0
Dodge,Neon,Standard,0
Dodge,Nitro,Standard,0
Dodge,Ram 1500 Club Cab,Standard,0
Dodge,Ram 1500 Crew Cab,Standard,0
Dodge,Ram 1500 Mega Cab,Standard,0
Dodge,Ram 1500 Quad Cab,Standard,0
Dodge,Ram 1500 Regular Cab,Standard,0
Dodge,Ram 2500 Club Cab,Standard,0
Dodge,Ram 2500 Crew Cab,Standard,0
Dodge,Ram 2500 Mega Cab,Standard,0
Dodge,Ram 2500 Quad Cab,Standard,0
Dodge,Ram 2500 Regular Cab,Standard,0
Dodge,Ram 3500 Club Cab,Standard,0
Dodge,Ram 3500 Crew Cab,Standard,0
Dodge,Ram 3500 Mega Cab,Standard,0
Dodge,Ram 3500 Quad Cab,Standard,0
Dodge,Ram 3500 Regular Cab,Standard,0
Dodge,Ram 50 Regular Cab,Standard,0
Dodge,Ram Van 1500,Standard,0
Dodge,Ram Van 2500,Standard,0
Dodge,Ram Van 3500,Standard,0
Dodge,Ram Van B150,Standard,0
Dodge,Ram Van B250,Standard,0
Dodge,Ram Van B350,Standard,0
Dodge,Ram Wagon 1500,Standard,0
Dodge,Ram Wagon 2500,Standard,0
Dodge,Ram Wagon 3500,Standard,0
Dodge,Ram Wagon B150,Standard,0
Dodge,Ram Wagon B250,Standard,0
Dodge,Ram Wagon B350,Standard,0
Dodge,Ramcharger,Standard,0
Dodge,Shadow,Standard,0
Dodge,Spirit,Standard,0
Dodge,Sprinter 2500 Cargo,Standard,0
Dodge,Sprinter 2500 Passenger,Standard,0
Dodge,Sprinter 3500 Cargo,Standard,0
Dodge,Stealth,Standard,0
Dodge,Stratus,Standard,0
Dodge,Viper,Standard,0
Eagle,Premier,Standard,0
Eagle,Summit,Standard,0
Eagle,Talon,Standard,0
Eagle,Vision,Standard,0
FIAT,124 Spider,Standard,0
FIAT,500,Standard,0
FIAT,500 Abarth,Standard,0
FIAT,500L,Standard,0
FIAT,500X,Standard,0
FIAT,500c,Standard,0
FIAT,500c Abarth,Standard,0
FIAT,500e,Standard,0
Ferrari,296 GTB,Standard,0.25
Ferrari,430 Scuderia,Standard,0.25
Ferrari,458 Italia,Standard,0.25
Ferrari,458 Speciale,Standard,0.25
Ferrari,458 Spider,Standard,0.25
Ferrari,488 GTB,Standard,0.25
Ferrari,488 Pista,Standard,0.25
Ferrari,488 Spider,Standard,0.25
Ferrari,599 GTB Fiorano,Standard,0.25
Ferrari,599 GTO,Standard,0.25
Ferrari,612 Scaglietti,Standard,0.25
Ferrari,812 Competizione,Standard,0.25
Ferrari,812 Competizione A,Standard,0.25
Ferrari,812 GTS,Standard,0.25
Ferrari,812 Superfast,Standard,0.25
Ferrari,California,Standard,0.25
Ferrari,F12berlinetta,Standard,0.25
Ferrari,F430,Standard,0.25
Ferrari,F8,Standard,0.25
Ferrari,FF,Standard,0.25
Ferrari,GTC4Lusso,Standard,0.25
Ferrari,Portofino,Standard,0.25
Ferrari,Roma,Standard,0.25
Ferrari,SF90,Standard,0.25
Fisker,Alaska,Standard,0
Fisker,Karma,Standard,0
Fisker,Ocean,Standard,0
Fisker,Pear,Standard,0
Fisker,Ronin,Standard,0
Ford,Aerostar Cargo,Standard,0
Ford,Aerostar Passenger,Standard,0
Ford,Aspire,Standard,0
Ford,Bronco,Standard,0
Ford,Bronco Sport,Standard,0
Ford,C-MAX Energi,Standard,0
Ford,C-MAX Hybrid,Standard,0
Ford,Club Wagon,Standard,0
Ford,Contour,Standard,0
Ford,Crown Victoria,Standard,0
Ford,E-Transit 350 Cargo Van,Standard,0
Ford,E150 Cargo,Standard,0
Ford,E150 Passenger,Standard,0
Ford,E150 Super Duty Cargo,Standard,0
Ford,E150 Super Duty Passenger,Standard,0
Ford,E250 Cargo,Standard,0
Ford,E250 Super Duty Cargo,Standard,0
Ford,E350 Super Duty Cargo,Standard,0
Ford,E350 Super Duty Passenger,Standard,0
Ford,EcoSport,Standard,0
Ford,Econoline E150 Cargo,Standard,0
Ford,Econoline E150 Passenger,Standard,0
Ford,Econoline E250 Cargo,Standard,0
Ford,Econoline E350 Cargo,Standard,0
Ford,Econoline E350 Super Duty Cargo,Standard,0
Ford,Econoline E350 Super Duty Passenger,Standard,0
Ford,Edge,Standard,0
Ford,Escape,Standard,0
Ford,Escape Plug-in Hybrid,Standard,0
Ford,Escort,Standard,0
Ford,Excursion,Standard,0
Ford,Expedition,Standard,0
Ford,Expedition EL,Standard,0
Ford,Expedition MAX,Standard,0
Ford,Explorer,Standard,0
Ford,Explorer Sport,Standard,0
Ford,Explorer Sport Trac,Standard,0
Ford,F150 (Heritage) Regular Cab,Standard,0
Ford,F150 (Heritage) Super Cab,Standard,0
Ford,F150 Lightning,Standard,0
Ford,F150 Regular Cab,Standard,0
Ford,F150 Super Cab,Standard,0
Ford,F150 SuperCrew Cab,Standard,0
Ford,F250 Crew Cab,Standard,0
Ford,F250 Regular Cab,Standard,0
Ford,F250 Super Cab,Standard,0
Ford,F250 Super Duty Crew Cab,Standard,0
Ford,F250 Super Duty Regular Cab,Standard,0
Ford,F250 Super Duty Super Cab,Standard,0
Ford,F350 Crew Cab,Standard,0
Ford,F350 Regular Cab,Standard,0
Ford,F350 Super Cab,Standard,0
Ford,F350 Super Duty Crew Cab,Standard,0
Ford,F350 Super Duty Regular Cab,Standard,0
Ford,F350 Super Duty Super Cab,Standard,0
Ford,F450 Super Duty Crew Cab,Standard,0
Ford,F450 Super Duty Regular Cab,Standard,0
Ford,Festiva,Standard,0
Ford,Fiesta,Standard,0
Ford,Five Hundred,Standard,0
Ford,Flex,Standard,0
Ford,Focus,Standard,0
Ford,Focus ST,Standard,0
Ford,Freestar Cargo,Standard,0
Ford,Freestar Passenger,Standard,0
Ford,Freestyle,Standard,0
Ford,Fusion,Standard,0
Ford,Fusion Energi,Standard,0
Ford,Fusion Plug-in Hybrid,Standard,0
Ford,GT,Standard,0
Ford,Maverick,Standard,0
Ford,Mustang,Standard,0
Ford,Mustang MACH-E,Standard,0
Ford,Probe,Standard,0
Ford,Ranger Regular Cab,Standard,0
Ford,Ranger Super Cab,Standard,0
Ford,Ranger SuperCab,Standard,0
Ford,Ranger SuperCrew,Standard,0
Ford,Taurus,Standard,0
Ford,Taurus X,Standard,0
Ford,Tempo,Standard,0
Ford,Thunderbird,Standard,0
Ford,Transit 150 Cargo Van,Standard,0
Ford,Transit 150 Crew Van,Standard,0
Ford,Transit 150 Passenger Van,Standard,0
Ford,Transit 150 Van,Standard,0
Ford,Transit 150 Wagon,Standard,0
Ford,Transit 250 Cargo Van,Standard,0
Ford,Transit 250 Crew Van,Standard,0
Ford,Transit 250 Van,Standard,0
Ford,Transit 350 Cargo Van,Standard,0
Ford,Transit 350 Crew Van,Standard,0
Ford,Transit 350 HD Cargo Van,Standard,0
Ford,Transit 350 HD Crew Van,Standard,0
Ford,Transit 350 HD Van,Standard,0
Ford,Transit 350 Passenger Van,Standard,0
Ford,Transit 350 Van,Standard,0
Ford,Transit 350 Wagon,Standard,0
Ford,Transit Connect Cargo,Standard,0
Ford,Transit Connect Cargo Van,Standard,0
Ford,Transit Connect Passenger,Standard,0
Ford,Transit Connect Passenger Wagon,Standard,0
Ford,Windstar Cargo,Standard,0
Ford,Windstar Passenger,Standard,0
Ford,ZX2,Standard,0
Freightliner,Sprinter 1500 Cargo,Standard,0
Freightliner,Sprinter 1500 Passenger,Standard,0
Freightliner,Sprinter 2500 Cargo,Standard,0
Freightliner,Sprinter 2500 Crew,Standard,0
Freightliner,Sprinter 2500 Passenger,Standard,0
Freightliner,Sprinter 3500 Cargo,Standard,0
Freightliner,Sprinter 3500 Crew,Standard,0
Freightliner,Sprinter 3500 XD Crew,Standard,0
Freightliner,Sprinter 3500XD Cargo,Standard,0
Freightliner,Sprinter 4500 Cargo,Standard,0
Freightliner,Sprinter 4500 Crew,Standard,0
Freightliner,Sprinter WORKER Cargo,Standard,0
Freightliner,Sprinter WORKER Passenger,Standard,0
GMC,1500 Club Coupe,Standard,0
GMC,1500 Regular Cab,Standard,0
GMC,2500 Club Coupe,Standard,0
GMC,2500 Crew Cab,Standard,0
GMC,2500 HD Club Coupe,Standard,0
GMC,2500 HD Extended Cab,Standard,0
GMC,2500 HD Regular Cab,Standard,0
GMC,2500 Regular Cab,Standard,0
GMC,3500 Club Coupe,Standard,0
GMC,3500 Crew Cab,Standard,0
GMC,3500 Extended Cab,Standard,0
GMC,3500 Regular Cab,Standard,0
GMC,Acadia,Standard,0
GMC,Acadia Limited,Standard,0
GMC,Canyon Crew Cab,Standard,0
GMC,Canyon Extended Cab,Standard,0
GMC,Canyon Regular Cab,Standard,0
GMC,Envoy,Standard,0
GMC,Envoy XL,Standard,0
GMC,Envoy XUV,Standard,0
GMC,HUMMER EV Pickup,Standard,0
GMC,HUMMER EV SUV,Standard,0
GMC,Hummer EV Pickup,Standard,0
GMC,Jimmy,Standard,0
GMC,Rally Wagon 1500,Standard,0
GMC,Rally Wagon 2500,Standard,0
GMC,Rally Wagon 3500,Standard,0
GMC,Rally Wagon G2500,Standard,0
GMC,Rally Wagon G3500,Standard,0
GMC,Safari Cargo,Standard,0
GMC,Safari Passenger,Standard,0
GMC,Savana 1500 Cargo,Standard,0
GMC,Savana 1500 Passenger,Standard,0
GMC,Savana 2500 Cargo,Standard,0
GMC,Savana 2500 Passenger,Standard,0
GMC,Savana 3500 Cargo,Standard,0
GMC,Savana 3500 Passenger,Standard,0
GMC,Sierra (Classic) 1500 Crew Cab,Standard,0
GMC,Sierra (Classic) 1500 Extended Cab,Standard,0
GMC,Sierra (Classic) 1500 HD Crew Cab,Standard,0
GMC,Sierra (Classic) 1500 Regular Cab,Standard,0
GMC,Sierra (Classic) 2500 Crew Cab,Standard,0
GMC,Sierra (Classic) 2500 HD Crew Cab,Standard,0
GMC,Sierra (Classic) 2500 HD Extended Cab,Standard,0
GMC,Sierra (Classic) 2500 HD Regular Cab,Standard,0
GMC,Sierra (Classic) 3500 Crew Cab,Standard,0
GMC,Sierra (Classic) 3500 Extended Cab,Standard,0
GMC,Sierra (Classic) 3500 Regular Cab,Standard,0
GMC,Sierra 1500 Crew Cab,Standard,0
GMC,Sierra 1500 Double Cab,Standard,0
GMC,Sierra 1500 Extended Cab,Standard,0
GMC,Sierra 1500 HD Crew Cab,Standard,0
GMC,Sierra 1500 Limited Crew Cab,Standard,0
GMC,Sierra 1500 Limited Double Cab,Standard,0
GMC,Sierra 1500 Limited Regular Cab,Standard,0
GMC,Sierra 1500 Regular Cab,Standard,0
GMC,Sierra 2500 Crew Cab,Standard,0
GMC,Sierra 2500 Extended Cab,Standard,0
GMC,Sierra 2500 HD Crew Cab,Standard,0
GMC,Sierra 2500 HD Double Cab,Standard,0
GMC,Sierra 2500 HD Extended Cab,Standard,0
GMC,Sierra 2500 HD Regular Cab,Standard,0
GMC,Sierra 2500 Regular Cab,Standard,0
GMC,Sierra 3500 Crew Cab,Standard,0
GMC,Sierra 3500 Extended Cab,Standard,0
GMC,Sierra 3500 HD Crew Cab,Standard,0
GMC,Sierra 3500 HD Double Cab,Standard,0
GMC,Sierra 3500 HD Extended Cab,Standard,0
GMC,Sierra 3500 HD Regular Cab,Standard,0
GMC,Sierra 3500 Regular Cab,Standard,0
GMC,Sierra EV,Standard,0
GMC,Sonoma Club Cab,Standard,0
GMC,Sonoma Club Coupe Cab,Standard,0
GMC,Sonoma Crew Cab,Standard,0
GMC,Sonoma Extended Cab,Standard,0
GMC,Sonoma Regular Cab,Standard,0
GMC,Suburban 1500,Standard,0
GMC,Suburban 2500,Standard,0
GMC,Terrain,Standard,0
GMC,Vandura 1500,Standard,0
GMC,Vandura 2500,Standard,0
GMC,Vandura 3500,Standard,0
GMC,Vandura G1500,Standard,0
GMC,Vandura G2500,Standard,0
GMC,Vandura G3500,Standard,0
GMC,Yukon,Standard,0
GMC,Yukon Denali,Standard,0
GMC,Yukon XL,Standard,0
GMC,Yukon XL 1500,Standard,0
GMC,Yukon XL 2500,Standard,0
Genesis,Electrified G80,Standard,0
Genesis,Electrified GV70,Standard,0
Genesis,G70,Standard,0
Genesis,G80,Standard,0
Genesis,G90,Standard,0
Genesis,GV60,Standard,0
Genesis,GV70,Standard,0
Genesis,GV80,Standard,0
Genesis,GV80 Coupe,Standard,0
Geo,Metro,Standard,0
Geo,Prizm,Standard,0
Geo,Storm,Standard,0
Geo,Tracker,Standard,0
HUMMER,H1,Standard,0
HUMMER,H2,Standard,0
HUMMER,H3,Standard,0
HUMMER,H3T,Standard,0
Honda,Accord,Standard,0
Honda,Accord Crosstour,Standard,0
Honda,Accord Hybrid,Standard,0
Honda,CR-V,Standard,0
Honda,CR-V Hybrid,Standard,0
Honda,CR-Z,Standard,0
Honda,Civic,Standard,0
Honda,Civic Type R,Standard,0
Honda,Clarity Electric,Standard,0
Honda,Clarity Fuel Cell,Standard,0
Honda,Clarity Plug-in Hybrid,Standard,0
Honda,Crosstour,Standard,0
Honda,Element,Standard,0
Honda,Fit,Standard,0
Honda,HR-V,Standard,0
Honda,Insight,Standard,0
Honda,Odyssey,Standard,0
Honda,Passport,Standard,0
Honda,Pilot,Standard,0
Honda,Prelude,Standard,0
Honda,Prologue,Standard,0
Honda,Ridgeline,Standard,0
Honda,S2000,Standard,0
Honda,del Sol,Standard,0
Hyundai,Accent,Standard,0
Hyundai,Azera,Standard,0
Hyundai,Elantra,Standard,0
Hyundai,Elantra GT,Standard,0
Hyundai,Elantra Hybrid,Standard,0
Hyundai,Elantra N,Standard,0
Hyundai,Entourage,Standard,0
Hyundai,Equus,Standard,0
Hyundai,Excel,Standard,0
Hyundai,Genesis,Standard,0
Hyundai,Genesis Coupe,Standard,0
Hyundai,IONIQ 5,Standard,0
